date,name,point
2019-01-04,극장판 포켓몬스터 모두의 이야기,9.13
2019-01-04,로마,9.09
2019-01-04,러브 오브 시베리아,9.02
2019-01-04,카메라를 멈추면 안 돼!,9.02
2019-01-04,어거스트 러쉬,9.00
2019-01-04,주먹왕 랄프 2: 인터넷 속으로,8.88
2019-01-04,극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,8.77
2019-01-04,영주,8.69
2019-01-04,브로크백 마운틴,8.68
2019-01-04,완벽한 타인,8.68
2019-01-04,스윙키즈,8.50
2019-01-04,아쿠아맨,8.39
2019-01-04,그린치,8.36
2019-01-04,너의 췌장을 먹고 싶어,8.33
2019-01-04,국가부도의 날,8.21
2019-01-04,범블비,8.17
2019-01-04,부탁 하나만 들어줘,7.93
2019-01-04,트와일라잇,7.87
2019-01-04,런닝맨 : 풀룰루의 역습,7.76
2019-01-04,호두까기 인형과 4개의 왕국,7.40
2019-01-04,군산: 거위를 노래하다,7.04
2019-01-04,언니,6.79
2019-01-04,마약왕,6.67
2019-01-04,도어락,6.36
2019-01-04,PMC: 더 벙커,5.48
2019-01-05,보헤미안 랩소디,9.49
2019-01-05,폴란드로 간 아이들,9.42
2019-01-05,헌터 킬러,9.41
2019-01-05,트루먼 쇼,9.32
2019-01-05,스파이더맨: 뉴 유니버스,9.24
2019-01-05,러빙 빈센트,9.21
2019-01-05,점박이 한반도의 공룡2 : 새로운 낙원,9.20
2019-01-05,바울,9.17
2019-01-05,인생 후르츠,9.16
2019-01-05,스타 이즈 본,9.15
2019-01-05,타샤 튜더,9.14
2019-01-05,극장판 포켓몬스터 모두의 이야기,9.12
2019-01-05,로마,9.09
2019-01-05,러브 오브 시베리아,9.02
2019-01-05,카메라를 멈추면 안 돼!,9.01
2019-01-05,어거스트 러쉬,9.00
2019-01-05,주먹왕 랄프 2: 인터넷 속으로,8.85
2019-01-05,극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,8.78
2019-01-05,영주,8.70
2019-01-05,브로크백 마운틴,8.68
2019-01-05,완벽한 타인,8.67
2019-01-05,스윙키즈,8.50
2019-01-05,아쿠아맨,8.39
2019-01-05,그린치,8.36
2019-01-05,너의 췌장을 먹고 싶어,8.34
2019-01-05,국가부도의 날,8.21
2019-01-05,범블비,8.16
2019-01-05,부탁 하나만 들어줘,7.91
2019-01-05,트와일라잇,7.87
2019-01-05,런닝맨 : 풀룰루의 역습,7.76
2019-01-05,호두까기 인형과 4개의 왕국,7.40
2019-01-05,군산: 거위를 노래하다,7.02
2019-01-05,언니,6.71
2019-01-05,마약왕,6.67
2019-01-05,도어락,6.35
2019-01-05,PMC: 더 벙커,5.42
2019-01-06,보헤미안 랩소디,9.48
2019-01-06,폴란드로 간 아이들,9.42
2019-01-06,헌터 킬러,9.41
2019-01-06,트루먼 쇼,9.32
2019-01-06,스파이더맨: 뉴 유니버스,9.24
2019-01-06,러빙 빈센트,9.20
2019-01-06,점박이 한반도의 공룡2 : 새로운 낙원,9.20
2019-01-06,바울,9.17
2019-01-06,인생 후르츠,9.15
2019-01-06,스타 이즈 본,9.15
2019-01-06,타샤 튜더,9.14
2019-01-06,로마,9.11
2019-01-06,극장판 포켓몬스터 모두의 이야기,9.10
2019-01-06,러브 오브 시베리아,9.02
2019-01-06,카메라를 멈추면 안 돼!,9.01
2019-01-06,어거스트 러쉬,9.00
2019-01-06,주먹왕 랄프 2: 인터넷 속으로,8.85
2019-01-06,극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,8.73
2019-01-06,브로크백 마운틴,8.68
2019-01-06,완벽한 타인,8.67
2019-01-06,영주,8.66
2019-01-06,스윙키즈,8.50
2019-01-06,아쿠아맨,8.38
2019-01-06,그랜드 부다페스트 호텔,8.38
2019-01-06,그린치,8.36
2019-01-06,국가부도의 날,8.20
2019-01-06,범블비,8.15
2019-01-06,부탁 하나만 들어줘,7.91
2019-01-06,런닝맨 : 풀룰루의 역습,7.75
2019-01-06,호두까기 인형과 4개의 왕국,7.40
2019-01-06,군산: 거위를 노래하다,7.00
2019-01-06,마약왕,6.66
2019-01-06,언니,6.65
2019-01-06,도어락,6.34
2019-01-06,PMC: 더 벙커,5.41
2019-01-07,보헤미안 랩소디,9.48
2019-01-07,폴란드로 간 아이들,9.42
2019-01-07,헌터 킬러,9.41
2019-01-07,트루먼 쇼,9.32
2019-01-07,스파이더맨: 뉴 유니버스,9.24
2019-01-07,러빙 빈센트,9.20
2019-01-07,점박이 한반도의 공룡2 : 새로운 낙원,9.17
2019-01-07,바울,9.17
2019-01-07,스타 이즈 본,9.15
2019-01-07,인생 후르츠,9.15
2019-01-07,타샤 튜더,9.14
2019-01-07,로마,9.11
2019-01-07,극장판 포켓몬스터 모두의 이야기,9.10
2019-01-07,카메라를 멈추면 안 돼!,9.00
2019-01-07,어거스트 러쉬,9.00
2019-01-07,주먹왕 랄프 2: 인터넷 속으로,8.80
2019-01-07,리즈와 파랑새,8.79
2019-01-07,극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,8.74
2019-01-07,김광석,8.72
2019-01-07,브로크백 마운틴,8.68
2019-01-07,완벽한 타인,8.67
2019-01-07,영주,8.62
2019-01-07,스윙키즈,8.51
2019-01-07,아쿠아맨,8.38
2019-01-07,그랜드 부다페스트 호텔,8.38
2019-01-07,그린치,8.37
2019-01-07,국가부도의 날,8.20
2019-01-07,범블비,8.16
2019-01-07,부탁 하나만 들어줘,7.90
2019-01-07,런닝맨 : 풀룰루의 역습,7.75
2019-01-07,호두까기 인형과 4개의 왕국,7.40
2019-01-07,군산: 거위를 노래하다,6.99
2019-01-07,마약왕,6.66
2019-01-07,언니,6.60
2019-01-07,도어락,6.33
2019-01-07,PMC: 더 벙커,5.40
2019-01-08,보헤미안 랩소디,9.48
2019-01-08,폴란드로 간 아이들,9.42
2019-01-08,헌터 킬러,9.41
2019-01-08,스파이더맨: 뉴 유니버스,9.24
2019-01-08,러빙 빈센트,9.20
2019-01-08,점박이 한반도의 공룡2 : 새로운 낙원,9.17
2019-01-08,바울,9.17
2019-01-08,스타 이즈 본,9.15
2019-01-08,인생 후르츠,9.15
2019-01-08,타샤 튜더,9.14
2019-01-08,로마,9.11
2019-01-08,극장판 포켓몬스터 모두의 이야기,9.10
2019-01-08,어거스트 러쉬,9.00
2019-01-08,카메라를 멈추면 안 돼!,8.99
2019-01-08,주먹왕 랄프 2: 인터넷 속으로,8.80
2019-01-08,김광석,8.72
2019-01-08,극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,8.71
2019-01-08,브로크백 마운틴,8.68
2019-01-08,영주,8.60
2019-01-08,스윙키즈,8.51
2019-01-08,그랜드 부다페스트 호텔,8.38
2019-01-08,아쿠아맨,8.38
2019-01-08,그린치,8.37
2019-01-08,국가부도의 날,8.20
2019-01-08,범블비,8.16
2019-01-08,부탁 하나만 들어줘,7.89
2019-01-08,런닝맨 : 풀룰루의 역습,7.75
2019-01-08,호두까기 인형과 4개의 왕국,7.40
2019-01-08,군산: 거위를 노래하다,6.98
2019-01-08,마약왕,6.65
2019-01-08,언니,6.59
2019-01-08,도어락,6.32
2019-01-08,PMC: 더 벙커,5.37
2019-01-08,두 개의 문,5.15
2019-01-09,보헤미안 랩소디,9.48
2019-01-09,폴란드로 간 아이들,9.42
2019-01-09,헌터 킬러,9.41
2019-01-09,스파이더맨: 뉴 유니버스,9.24
2019-01-09,러빙 빈센트,9.20
2019-01-09,점박이 한반도의 공룡2 : 새로운 낙원,9.17
2019-01-09,바울,9.17
2019-01-09,스타 이즈 본,9.15
2019-01-09,타샤 튜더,9.14
2019-01-09,인생 후르츠,9.13
2019-01-09,로마,9.10
2019-01-09,극장판 포켓몬스터 모두의 이야기,9.10
2019-01-09,어거스트 러쉬,9.00
2019-01-09,카메라를 멈추면 안 돼!,9.00
2019-01-09,내안의 그놈,8.96
2019-01-09,말모이,8.82
2019-01-09,주먹왕 랄프 2: 인터넷 속으로,8.78
2019-01-09,김광석,8.72
2019-01-09,극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,8.69
2019-01-09,브로크백 마운틴,8.68
2019-01-09,영주,8.59
2019-01-09,스윙키즈,8.50
2019-01-09,그랜드 부다페스트 호텔,8.38
2019-01-09,아쿠아맨,8.38
2019-01-09,그린치,8.37
2019-01-09,국가부도의 날,8.19
2019-01-09,범블비,8.16
2019-01-09,부탁 하나만 들어줘,7.89
2019-01-09,호두까기 인형과 4개의 왕국,7.40
2019-01-09,군산: 거위를 노래하다,6.99
2019-01-09,마약왕,6.65
2019-01-09,언니,6.55
2019-01-09,도어락,6.32
2019-01-09,PMC: 더 벙커,5.36
2019-01-09,두 개의 문,5.15
2019-01-10,보헤미안 랩소디,9.48
2019-01-10,극장판 공룡메카드: 타이니소어의 섬,9.46
2019-01-10,폴란드로 간 아이들,9.42
2019-01-10,헌터 킬러,9.41
2019-01-10,스파이더맨: 뉴 유니버스,9.25
2019-01-10,러빙 빈센트,9.21
2019-01-10,점박이 한반도의 공룡2 : 새로운 낙원,9.17
2019-01-10,바울,9.17
2019-01-10,스타 이즈 본,9.15
2019-01-10,타샤 튜더,9.14
2019-01-10,인생 후르츠,9.13
2019-01-10,로마,9.10
2019-01-10,극장판 포켓몬스터 모두의 이야기,9.10
2019-01-10,내안의 그놈,9.09
2019-01-10,어거스트 러쉬,9.00
2019-01-10,카메라를 멈추면 안 돼!,8.99
2019-01-10,말모이,8.85
2019-01-10,주먹왕 랄프 2: 인터넷 속으로,8.78
2019-01-10,김광석,8.72
2019-01-10,브로크백 마운틴,8.68
2019-01-10,극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,8.66
2019-01-10,영주,8.56
2019-01-10,스윙키즈,8.50
2019-01-10,아쿠아맨,8.38
2019-01-10,그랜드 부다페스트 호텔,8.38
2019-01-10,그린치,8.36
2019-01-10,국가부도의 날,8.19
2019-01-10,범블비,8.16
2019-01-10,부탁 하나만 들어줘,7.88
2019-01-10,호두까기 인형과 4개의 왕국,7.40
2019-01-10,군산: 거위를 노래하다,6.99
2019-01-10,마약왕,6.64
2019-01-10,언니,6.57
2019-01-10,도어락,6.31
2019-01-10,PMC: 더 벙커,5.35
2019-01-10,두 개의 문,5.15
2019-01-11,그린 북,9.70
2019-01-11,보헤미안 랩소디,9.48
2019-01-11,폴란드로 간 아이들,9.42
2019-01-11,헌터 킬러,9.41
2019-01-11,극장판 공룡메카드: 타이니소어의 섬,9.34
2019-01-11,스파이더맨: 뉴 유니버스,9.25
2019-01-11,킹 오브 프리즘 프라이드 더 히어로,9.21
2019-01-11,러빙 빈센트,9.20
2019-01-11,점박이 한반도의 공룡2 : 새로운 낙원,9.18
2019-01-11,바울,9.17
2019-01-11,킹 오브 프리즘,9.17
2019-01-11,스타 이즈 본,9.15
2019-01-11,타샤 튜더,9.14
2019-01-11,인생 후르츠,9.14
2019-01-11,로마,9.10
2019-01-11,극장판 포켓몬스터 모두의 이야기,9.08
2019-01-11,어거스트 러쉬,9.00
2019-01-11,카메라를 멈추면 안 돼!,9.00
2019-01-11,내안의 그놈,8.98
2019-01-11,말모이,8.88
2019-01-11,주먹왕 랄프 2: 인터넷 속으로,8.78
2019-01-11,김광석,8.72
2019-01-11,브로크백 마운틴,8.68
2019-01-11,극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,8.64
2019-01-11,캐롤,8.54
2019-01-11,영주,8.52
2019-01-11,스윙키즈,8.50
2019-01-11,아쿠아맨,8.38
2019-01-11,그랜드 부다페스트 호텔,8.38
2019-01-11,그린치,8.36
2019-01-11,국가부도의 날,8.19
2019-01-11,범블비,8.16
2019-01-11,부탁 하나만 들어줘,7.88
2019-01-11,호두까기 인형과 4개의 왕국,7.40
2019-01-11,군산: 거위를 노래하다,6.99
2019-01-11,마약왕,6.61
2019-01-11,언니,6.58
2019-01-11,도어락,6.31
2019-01-11,PMC: 더 벙커,5.35
2019-01-11,두 개의 문,5.15
2019-01-12,그린 북,9.73
2019-01-12,보헤미안 랩소디,9.48
2019-01-12,폴란드로 간 아이들,9.43
2019-01-12,헌터 킬러,9.41
2019-01-12,극장판 공룡메카드: 타이니소어의 섬,9.26
2019-01-12,스파이더맨: 뉴 유니버스,9.25
2019-01-12,킹 오브 프리즘 프라이드 더 히어로,9.21
2019-01-12,러빙 빈센트,9.21
2019-01-12,점박이 한반도의 공룡2 : 새로운 낙원,9.18
2019-01-12,킹 오브 프리즘,9.17
2019-01-12,바울,9.17
2019-01-12,스타 이즈 본,9.15
2019-01-12,타샤 튜더,9.14
2019-01-12,인생 후르츠,9.13
2019-01-12,로마,9.10
2019-01-12,극장판 포켓몬스터 모두의 이야기,9.07
2019-01-12,말모이,9.00
2019-01-12,어거스트 러쉬,9.00
2019-01-12,카메라를 멈추면 안 돼!,9.00
2019-01-12,내안의 그놈,8.98
2019-01-12,주먹왕 랄프 2: 인터넷 속으로,8.77
2019-01-12,김광석,8.72
2019-01-12,브로크백 마운틴,8.68
2019-01-12,극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,8.62
2019-01-12,캐롤,8.54
2019-01-12,스윙키즈,8.50
2019-01-12,영주,8.49
2019-01-12,아쿠아맨,8.38
2019-01-12,그랜드 부다페스트 호텔,8.38
2019-01-12,그린치,8.36
2019-01-12,국가부도의 날,8.18
2019-01-12,범블비,8.16
2019-01-12,부탁 하나만 들어줘,7.88
2019-01-12,호두까기 인형과 4개의 왕국,7.40
2019-01-12,군산: 거위를 노래하다,6.99
2019-01-12,마약왕,6.58
2019-01-12,언니,6.58
2019-01-12,도어락,6.31
2019-01-12,PMC: 더 벙커,5.35
2019-01-12,두 개의 문,5.15
2019-01-13,그린 북,9.70
2019-01-13,보헤미안 랩소디,9.48
2019-01-13,폴란드로 간 아이들,9.42
2019-01-13,헌터 킬러,9.41
2019-01-13,스파이더맨: 뉴 유니버스,9.25
2019-01-13,극장판 공룡메카드: 타이니소어의 섬,9.22
2019-01-13,킹 오브 프리즘 프라이드 더 히어로,9.21
2019-01-13,러빙 빈센트,9.20
2019-01-13,점박이 한반도의 공룡2 : 새로운 낙원,9.18
2019-01-13,바울,9.17
2019-01-13,킹 오브 프리즘,9.16
2019-01-13,스타 이즈 본,9.15
2019-01-13,인생 후르츠,9.15
2019-01-13,타샤 튜더,9.14
2019-01-13,로마,9.10
2019-01-13,극장판 포켓몬스터 모두의 이야기,9.06
2019-01-13,말모이,9.05
2019-01-13,카메라를 멈추면 안 돼!,9.00
2019-01-13,어거스트 러쉬,9.00
2019-01-13,내안의 그놈,8.96
2019-01-13,주먹왕 랄프 2: 인터넷 속으로,8.77
2019-01-13,김광석,8.72
2019-01-13,브로크백 마운틴,8.68
2019-01-13,극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,8.60
2019-01-13,캐롤,8.54
2019-01-13,스윙키즈,8.50
2019-01-13,영주,8.45
2019-01-13,아쿠아맨,8.38
2019-01-13,그랜드 부다페스트 호텔,8.38
2019-01-13,그린치,8.36
2019-01-13,국가부도의 날,8.18
2019-01-13,범블비,8.17
2019-01-13,부탁 하나만 들어줘,7.88
2019-01-13,호두까기 인형과 4개의 왕국,7.39
2019-01-13,군산: 거위를 노래하다,6.96
2019-01-13,언니,6.58
2019-01-13,마약왕,6.56
2019-01-13,도어락,6.30
2019-01-13,PMC: 더 벙커,5.34
2019-01-14,그린 북,9.70
2019-01-14,보헤미안 랩소디,9.48
2019-01-14,폴란드로 간 아이들,9.42
2019-01-14,헌터 킬러,9.41
2019-01-14,스파이더맨: 뉴 유니버스,9.25
2019-01-14,킹 오브 프리즘 프라이드 더 히어로,9.21
2019-01-14,러빙 빈센트,9.20
2019-01-14,극장판 공룡메카드: 타이니소어의 섬,9.19
2019-01-14,점박이 한반도의 공룡2 : 새로운 낙원,9.18
2019-01-14,바울,9.17
2019-01-14,킹 오브 프리즘,9.16
2019-01-14,스타 이즈 본,9.15
2019-01-14,인생 후르츠,9.14
2019-01-14,타샤 튜더,9.14
2019-01-14,로마,9.09
2019-01-14,극장판 포켓몬스터 모두의 이야기,9.06
2019-01-14,말모이,9.04
2019-01-14,비긴 어게인,9.02
2019-01-14,카메라를 멈추면 안 돼!,9.00
2019-01-14,내안의 그놈,8.92
2019-01-14,소공녀,8.87
2019-01-14,주먹왕 랄프 2: 인터넷 속으로,8.76
2019-01-14,김광석,8.72
2019-01-14,브로크백 마운틴,8.68
2019-01-14,라라랜드,8.59
2019-01-14,극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,8.59
2019-01-14,캐롤,8.54
2019-01-14,스윙키즈,8.50
2019-01-14,영주,8.46
2019-01-14,티파니에서 아침을,8.40
2019-01-14,아쿠아맨,8.38
2019-01-14,그랜드 부다페스트 호텔,8.38
2019-01-14,그린치,8.35
2019-01-14,국가부도의 날,8.18
2019-01-14,범블비,8.17
2019-01-14,부탁 하나만 들어줘,7.89
2019-01-14,호두까기 인형과 4개의 왕국,7.39
2019-01-14,군산: 거위를 노래하다,6.96
2019-01-14,언니,6.57
2019-01-14,마약왕,6.55
2019-01-14,도어락,6.30
2019-01-14,PMC: 더 벙커,5.34
2019-01-15,그린 북,9.68
2019-01-15,보헤미안 랩소디,9.48
2019-01-15,폴란드로 간 아이들,9.42
2019-01-15,헌터 킬러,9.40
2019-01-15,스파이더맨: 뉴 유니버스,9.26
2019-01-15,러빙 빈센트,9.20
2019-01-15,극장판 공룡메카드: 타이니소어의 섬,9.19
2019-01-15,점박이 한반도의 공룡2 : 새로운 낙원,9.17
2019-01-15,바울,9.17
2019-01-15,스타 이즈 본,9.15
2019-01-15,인생 후르츠,9.14
2019-01-15,타샤 튜더,9.14
2019-01-15,로마,9.10
2019-01-15,극장판 포켓몬스터 모두의 이야기,9.05
2019-01-15,말모이,9.04
2019-01-15,카메라를 멈추면 안 돼!,9.00
2019-01-15,어거스트 러쉬,9.00
2019-01-15,내안의 그놈,8.87
2019-01-15,소공녀,8.87
2019-01-15,주먹왕 랄프 2: 인터넷 속으로,8.77
2019-01-15,김광석,8.72
2019-01-15,브로크백 마운틴,8.68
2019-01-15,악마는 프라다를 입는다,8.66
2019-01-15,라라랜드,8.59
2019-01-15,극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,8.55
2019-01-15,캐롤,8.54
2019-01-15,스윙키즈,8.50
2019-01-15,영주,8.45
2019-01-15,티파니에서 아침을,8.40
2019-01-15,아쿠아맨,8.38
2019-01-15,그랜드 부다페스트 호텔,8.38
2019-01-15,그린치,8.35
2019-01-15,국가부도의 날,8.18
2019-01-15,범블비,8.17
2019-01-15,죄 많은 소녀,8.06
2019-01-15,부탁 하나만 들어줘,7.89
2019-01-15,호두까기 인형과 4개의 왕국,7.40
2019-01-15,군산: 거위를 노래하다,6.96
2019-01-15,마약왕,6.54
2019-01-15,언니,6.35
2019-01-15,도어락,6.28
2019-01-15,PMC: 더 벙커,5.34
2019-01-16,그린 북,9.66
2019-01-16,보헤미안 랩소디,9.48
2019-01-16,폴란드로 간 아이들,9.42
2019-01-16,헌터 킬러,9.40
2019-01-16,스파이더맨: 뉴 유니버스,9.26
2019-01-16,러빙 빈센트,9.20
2019-01-16,극장판 공룡메카드: 타이니소어의 섬,9.18
2019-01-16,점박이 한반도의 공룡2 : 새로운 낙원,9.18
2019-01-16,바울,9.17
2019-01-16,스타 이즈 본,9.15
2019-01-16,인생 후르츠,9.14
2019-01-16,타샤 튜더,9.14
2019-01-16,로마,9.10
2019-01-16,말모이,9.04
2019-01-16,극장판 포켓몬스터 모두의 이야기,9.04
2019-01-16,어거스트 러쉬,9.00
2019-01-16,카메라를 멈추면 안 돼!,8.99
2019-01-16,소공녀,8.87
2019-01-16,내안의 그놈,8.85
2019-01-16,주먹왕 랄프 2: 인터넷 속으로,8.77
2019-01-16,김광석,8.72
2019-01-16,악마는 프라다를 입는다,8.66
2019-01-16,라라랜드,8.59
2019-01-16,극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,8.52
2019-01-16,스윙키즈,8.50
2019-01-16,영주,8.45
2019-01-16,티파니에서 아침을,8.40
2019-01-16,아쿠아맨,8.38
2019-01-16,그랜드 부다페스트 호텔,8.38
2019-01-16,그린치,8.36
2019-01-16,국가부도의 날,8.18
2019-01-16,범블비,8.17
2019-01-16,죄 많은 소녀,8.06
2019-01-16,부탁 하나만 들어줘,7.88
2019-01-16,군산: 거위를 노래하다,6.96
2019-01-16,마약왕,6.53
2019-01-16,도어락,6.28
2019-01-16,언니,6.12
2019-01-16,PMC: 더 벙커,5.33
2019-01-17,그린 북,9.66
2019-01-17,언더독,9.56
2019-01-17,보헤미안 랩소디,9.47
2019-01-17,폴란드로 간 아이들,9.43
2019-01-17,헌터 킬러,9.40
2019-01-17,스파이더맨: 뉴 유니버스,9.26
2019-01-17,러빙 빈센트,9.20
2019-01-17,극장판 공룡메카드: 타이니소어의 섬,9.18
2019-01-17,점박이 한반도의 공룡2 : 새로운 낙원,9.18
2019-01-17,바울,9.17
2019-01-17,스타 이즈 본,9.15
2019-01-17,인생 후르츠,9.15
2019-01-17,타샤 튜더,9.14
2019-01-17,로마,9.10
2019-01-17,극장판 포켓몬스터 모두의 이야기,9.04
2019-01-17,말모이,9.04
2019-01-17,어거스트 러쉬,9.00
2019-01-17,디어 헌터,8.89
2019-01-17,소공녀,8.87
2019-01-17,내안의 그놈,8.81
2019-01-17,주먹왕 랄프 2: 인터넷 속으로,8.76
2019-01-17,악마는 프라다를 입는다,8.66
2019-01-17,라라랜드,8.59
2019-01-17,스윙키즈,8.50
2019-01-17,극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,8.48
2019-01-17,영주,8.43
2019-01-17,티파니에서 아침을,8.40
2019-01-17,아쿠아맨,8.38
2019-01-17,그랜드 부다페스트 호텔,8.38
2019-01-17,그린치,8.36
2019-01-17,국가부도의 날,8.18
2019-01-17,범블비,8.17
2019-01-17,죄 많은 소녀,8.06
2019-01-17,글래스,7.91
2019-01-17,부탁 하나만 들어줘,7.87
2019-01-17,군산: 거위를 노래하다,6.97
2019-01-17,마약왕,6.52
2019-01-17,도어락,6.28
2019-01-17,언니,6.02
2019-01-17,PMC: 더 벙커,5.32
2019-01-18,그린 북,9.67
2019-01-18,언더독,9.53
2019-01-18,보헤미안 랩소디,9.47
